

param NAno:= 2;						
param NMes:= 3;						
param NDia:= 2;						
param NHora:= 2;						
param NMinutos:= 2;						
						
param Custo:=[*,*,*,*,*]						
1	1	1	1	1	1	
1	1	1	1	2	2	
1	1	1	2	1	3	
1	1	1	2	2	4	
1	1	2	1	1	5	
1	1	2	1	2	6	
1	1	2	2	1	7	
1	1	2	2	2	8	
1	2	1	1	1	9	
1	2	1	1	2	10	
1	2	1	2	1	11	
1	2	1	2	2	12	
1	2	2	1	1	13	
1	2	2	1	2	14	
1	2	2	2	1	15	
1	2	2	2	2	16	
1	3	1	1	1	17	
1	3	1	1	2	18	
1	3	1	2	1	19	
1	3	1	2	2	20	
1	3	2	1	1	21	
1	3	2	1	2	22	
1	3	2	2	1	23	
1	3	2	2	2	24	
2	1	1	1	1	25	
2	1	1	1	2	26	
2	1	1	2	1	27	
2	1	1	2	2	28	
2	1	2	1	1	29	
2	1	2	1	2	30	
2	1	2	2	1	31	
2	1	2	2	2	32	
2	2	1	1	1	33	
2	2	1	1	2	34	
2	2	1	2	1	35	
2	2	1	2	2	36	
2	2	2	1	1	37	
2	2	2	1	2	38	
2	2	2	2	1	39	
2	2	2	2	2	40	
2	3	1	1	1	41	
2	3	1	1	2	42	
2	3	1	2	1	43	
2	3	1	2	2	44	
2	3	2	1	1	45	
2	3	2	1	2	46	
2	3	2	2	1	47	
2	3	2	2	2	48	;
